0,3607,56,34,4,325,10,10,4,816,5,4,603,26,2299,5,1754,4,1310,18,4,22,13,244,1535,51,10533,36,343,11,15,5493,40,481,54,4,898,1686,50,28,77,111,8276,7,14,22,21,61,514,3194,266,39,2,4772,54,59,2568,8,4888,138,6,109,19,4,172,403,23,6,568,123,9,8901,40,35,2665,129,109,1568,700,2143,18,4,123,40,7023,5824,3457,11,7529,150,148,37,28,110,4,20,124,138,14,9,642,1
1,19,64,4,118,4204,8,135,164,7,6,4906,11638,5,16573,57,359,8,471,56,4,6549,42,332,4,807,742,7071,9,38,1220,5,422,364,1317,15,32,15,676,18825,1748,1369,5,752,32,14260,306,73,220,1280,49,1280,742,7502,70,24,895,8,1300,4,136,17,443,7071,127,5,127,209,443,2,12631,29,100,297,6,2413,4,1213,5,2015,2,5,9274,21,54,29,16,52,29,16,55,55,52,371,6,132,18,32,1007,5,2187,1
2,46,2210,2680,232,40,15,82,84,11,20,69,5132,354,50,116,16,38,78,82,4,114,78,36,100,28,1561,963,6,128,292,23,4,7158,33,222,5,2462,53,23,4,212,4,212,16,82,6,117,2245,5,188,66,357,103,4,86,171,640,12,16,40,16,2129,95,4,154,54,9,14,2146,130,645,8,1968,11,4,1324,347,48,1206,181,6,6,5132,7,116,1849,11,19,6,379,114,5,6,883,140,1404,5,106,14,20,0
3,319,12,474,683,12,233,21,4,213,7,14,20,2,72,4,414,9,32,576,3903,5,1755,111,7,4,732,468,8,30,2,5,466,32,4,1006,5,6270,861,1500,225,164,2475,44,14,22,32,1200,72,8,594,43,51,4,2304,14,155,9,44,4,425,863,100,28,77,4,2857,18,6,253,48,4103,6670,212,305,1106,1899,8,706,2342,9666,7352,5,11755,5,8279,18,94,205,2119,48,13,181,15,637,140,818,6,1698,1532,4527,0
4,36,81,24,124,31,160,75,67,275,2692,7,1349,5,6758,17,1353,34,4,85,4620,82,23,3182,39,6,378,7,4212,153,1021,8,409,131,6202,7,231,9836,6758,225,613,1920,807,3049,388,10409,5,2096,7,162,771,5,2955,149,4,20,19,2576,407,1978,49,7,4,2,7,4,65,246,12,9,131,6,3037,8,106,2482,49,7,4,114,9,6,117,3104,5,4,2647,3863,6,227,1309,46,5,2264,190,4,444,20,16,290,149,1
5,23,4,9572,145,11,2,13,377,112,18805,56,11,4,655,7,4,314,34,41,19076,14376,17,61,1246,1678,41,56,4,5743,10,10,59,16,660,142,40,92,387,41,79,72,42,142,40,15,13,1803,51,69,93,41,38,3072,5,59,579,72,15,6449,77,149,4,255,11,328,10,10,38,540,13,69,8,106,12,5,60,151,13,16,64,6007,59,387,72,12,1765,4,590,46,7,72,207,77,12224,8,189,108,237,149,14,1
6,373,2711,807,19,4,91,1639,116,874,126,110,19,4,13189,318,302,124,8,132,5,25,79,14,2000,2773,10,10,2,9,2805,74,91,1290,207,110,12,66,9,373,10,10,13,16,11,10737,315,4,136,121,4,1233,1002,1362,5059,109,9,260,4099,19,4,3077,3944,43,106,12,5,490,67,51,13,384,10,10,13,1252,191,264,15,294,93,14,19,622,2998,10,10,1579,21,6,66,52,462,12,47,8,30,110,8,30,2417,0
7,35,9960,7,486,24,35,9960,7,676,469,10,10,13,244,2874,10,10,633,13,67,6,78,20,5,3176,14,16,38,78,13,165,93,6,733,8,353,5,607,409,39,4,340,357,947,13,1583,1440,8,10,10,13,244,11213,61,1039,7,14,20,10,10,45,99,835,60,8,361,788,6,673,38,357,106,2,2,42,2,1465,2,18,1557,595,15,47,49,3940,17,722,14,18910,272,373,9,373,5,2500,93,12,144,235,373,0
8,0,0,1,14,9,35,5481,589,39,86,58,1723,4895,2,3991,117,2,1971,1951,19,2571,325,1484,2519,18,14780,21,299,46,17,6,10965,479,318,19,7512,532,11111,7180,807,5,1492,2291,116,60,6,2375,1159,352,19,692,8,1589,80,24,3673,8,113,14,2,3032,4822,1517,2616,2648,57,330,8,4,400,4075,2,19,4,156,8,4,635,7,1186,23,268,5,25,144,30,317,19,35,7180,48,643,2,4965,2037,11,10463,1208,325,479,0
9,2,7,3462,2719,15,9,371,2996,600,7,4,696,156,1407,46,11,61,330,36,71,5960,52,199,2,5,2,26,389,5,68,116,2938,4,22,367,10,10,45,210,619,8,30,1578,7,89,878,113,70,30,18,294,37,152,1183,13193,9292,18,51,9,1280,13,124,12,218,776,18,8854,60,11,4,1206,590,60,639,838,4,7122,8,119,5,2652,18,8854,11,6412,1831,2002,216,6,196,96,21,75,131,28,6,196,96,8,2106,1
10,1264,8,67,91,85,84,133,92,104,76,7,14,20,345,12,47,49,194,1433,11,4,177,21,198,12,50,9,164,334,8,386,607,16328,6,171,184,372,63,25,70,81,11,6,3207,108,10,10,4,65,2290,164,21,5312,532,4012,3629,3412,2731,105,15,2082,22,1418,32,306,8,40,5,91,7,4,1071,191,759,10,10,4,12290,2458,26,38,1214,36,26,1322,4,2929,2758,2118,26,208,39,3697,363,7218,5,4,65,9,2279,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,364,352,189,44,35,445,1147,254,8,264,11,14,251,5,559,21,96,145,54,14,538,165,343,8,79,2253,766,134,504,14,432,7,155,62,345,140,1504,8,374,42,730,8,1877,1616,30,99,254,8,798,14,31,871,126,557,7,12,0
12,3263,5,24,17,6,1773,7,749,4450,19,4,6109,1103,7,4,58,10,10,845,4,6721,50,26,49,2070,163,388,262,19,4,3837,15,297,17,73,150,17,36,122,95,148,37,1661,4,2,405,8,15,7,4,9227,5638,97,6,52,213,4,1402,245,411,2223,3803,5,702,367,19,4,3599,270,1969,4212,153,303,45,131,6,254,20,8,79,6,4450,2885,23,466,4,190,4,22,1287,6,157,7,3922,2834,19,49,2070,979,388,1
13,209,101,769,2618,42,60,6,542,292,33,627,4,8349,1027,33,921,7600,42,3793,1971,23,113,93,72,1195,8,106,10,10,39,4,22,14,1143,934,40,6,762,7,6031,117,5412,37,9155,187,8,169,6,544,36,92,28,5,104,507,49,243,7,2,18,4,498,7,228,63,36,91,407,26,24,5,13,197,4,228,2067,5,13,426,60,391,4,4176,688,8,4,13302,405,7,4,485,1950,10,10,13,202,12,6,241,158,0
14,202,12,58,13,104,891,234,9,196,195,8,858,11,6,212,18,6,462,61,462,115,385,38,13,520,56,10,10,45,379,1285,24,38,379,15,25,28,8,462,151,12,218,1764,751,15,312,1242,387,72,2296,15,45,43,379,24,379,1285,36,203,28,1436,18,813,139,8,30,163,21,36,1173,13,1408,48,25,71,66,1100,25,100,820,3890,4,20,19,6,10628,5,130,56,19,6,2791,441,585,10,10,6,55,1235,781,0
